"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 13 12:23:05 GMT 2022","Sun Nov 13 12:23:05 GMT 2022","1","","Money","","MoneyTest","MoneyBagEquals","MoneyBagEquals",""
"passed","Sun Nov 13 12:23:18 GMT 2022","Sun Nov 13 12:23:18 GMT 2022","3","","Syntax","","AssertSyntaxTests","ExactTypeTests","ExactTypeTests",""
"passed","Sun Nov 13 12:23:18 GMT 2022","Sun Nov 13 12:23:18 GMT 2022","0","","Syntax","","AssertSyntaxTests","EqualityTestsWithTolerance_MixedFloatAndDouble","EqualityTestsWithTolerance_MixedFloatAndDouble",""
"passed","Sun Nov 13 12:23:18 GMT 2022","Sun Nov 13 12:23:18 GMT 2022","1","","Syntax","","AssertSyntaxTests","IsTrue","Assert.IsTrue",""
"passed","Sun Nov 13 12:23:18 GMT 2022","Sun Nov 13 12:23:18 GMT 2022","1","","Syntax","","AssertSyntaxTests","IsNaN","Assert.IsNan",""
"passed","Sun Nov 13 12:23:05 GMT 2022","Sun Nov 13 12:23:05 GMT 2022","0","","Money","","MoneyTest","BagSubtract","BagSubtract",""
"passed","Sun Nov 13 12:23:18 GMT 2022","Sun Nov 13 12:23:18 GMT 2022","2","","Syntax","","AssertSyntaxTests","AssignableFromTypeTests","AssignableFromTypeTests",""
"passed","Sun Nov 13 12:23:05 GMT 2022","Sun Nov 13 12:23:05 GMT 2022","0","","Money","","MoneyTest","BagSumAdd","BagSumAdd",""
"passed","Sun Nov 13 12:23:05 GMT 2022","Sun Nov 13 12:23:05 GMT 2022","1","","Money","","MoneyTest","MoneyPrint","MoneyPrint",""
"passed","Sun Nov 13 12:23:05 GMT 2022","Sun Nov 13 12:23:05 GMT 2022","2","","Money","","MoneyTest","MoneyBagHash","MoneyBagHash",""
"passed","Sun Nov 13 12:23:18 GMT 2022","Sun Nov 13 12:23:18 GMT 2022","1","","Syntax","","AssertSyntaxTests","SubsetTests","SubsetTests",""
"passed","Sun Nov 13 12:23:05 GMT 2022","Sun Nov 13 12:23:05 GMT 2022","0","","Money","","MoneyTest","Normalize4","Normalize4",""
"passed","Sun Nov 13 12:23:18 GMT 2022","Sun Nov 13 12:23:18 GMT 2022","0","","Syntax","","AssertSyntaxTests","NoItemTests","NoItemTests",""
"passed","Sun Nov 13 12:23:05 GMT 2022","Sun Nov 13 12:23:05 GMT 2022","0","","Money","","MoneyTest","BagNegate","BagNegate",""
"passed","Sun Nov 13 12:23:05 GMT 2022","Sun Nov 13 12:23:05 GMT 2022","1","","Money","","MoneyTest","MixedSimpleAdd","MixedSimpleAdd",""
"passed","Sun Nov 13 12:23:18 GMT 2022","Sun Nov 13 12:23:18 GMT 2022","1","","Syntax","","AssertSyntaxTests","SubstringTests","SubstringTests",""
"passed","Sun Nov 13 12:23:05 GMT 2022","Sun Nov 13 12:23:05 GMT 2022","0","","Money","","MoneyTest","MoneyIsZero","Money is zero",""
"passed","Sun Nov 13 12:23:18 GMT 2022","Sun Nov 13 12:23:18 GMT 2022","4","","Syntax","","AssertSyntaxTests","CollectionEquivalenceTests","CollectionEquivalenceTests",""
"passed","Sun Nov 13 12:23:18 GMT 2022","Sun Nov 13 12:23:18 GMT 2022","1","","Syntax","","AssertSyntaxTests","SomeItemTests","SomeItemTests",""
"passed","Sun Nov 13 12:23:05 GMT 2022","Sun Nov 13 12:23:05 GMT 2022","1","","Money","","MoneyTest","Normalize2","Normalize2",""
"passed","Sun Nov 13 12:23:18 GMT 2022","Sun Nov 13 12:23:18 GMT 2022","1","","Syntax","","AssertSyntaxTests","IsFalse","Assert.IsFalse",""
"passed","Sun Nov 13 12:23:05 GMT 2022","Sun Nov 13 12:23:05 GMT 2022","1","","Money","","MoneyTest","SimpleSubtract","SimpleSubtract",""
"passed","Sun Nov 13 12:23:18 GMT 2022","Sun Nov 13 12:23:18 GMT 2022","7","","Syntax","","AssertSyntaxTests","EqualityTestsWithTolerance","EqualityTestsWithTolerance",""
"passed","Sun Nov 13 12:23:18 GMT 2022","Sun Nov 13 12:23:18 GMT 2022","33","","Syntax","","AssertSyntaxTests","AllItemsTests","AllItemsTests",""
"passed","Sun Nov 13 12:23:18 GMT 2022","Sun Nov 13 12:23:18 GMT 2022","1","","Syntax","","AssertSyntaxTests","StartsWithTests","StartsWithTests",""
