"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","RegularExpressionTests","","Fri Dec 05 22:10:45 UTC 2025","passed","Fri Dec 05 22:10:45 UTC 2025","","Syntax","AssertSyntaxTests","RegularExpressionTests"
"","0","ClassicAssert.IsEmpty, ClassicAssert.IsNotEmpty, Assert.That","","Fri Dec 05 22:10:45 UTC 2025","passed","Fri Dec 05 22:10:45 UTC 2025","","Syntax","AssertSyntaxTests","EmptyStringTests"
"","4","EmptyCollectionTests","","Fri Dec 05 22:10:45 UTC 2025","passed","Fri Dec 05 22:10:45 UTC 2025","","Syntax","AssertSyntaxTests","EmptyCollectionTests"
"","2","EqualityTestsWithTolerance_MixedFloatAndDouble","","Fri Dec 05 22:10:45 UTC 2025","passed","Fri Dec 05 22:10:45 UTC 2025","","Syntax","AssertSyntaxTests","EqualityTestsWithTolerance_MixedFloatAndDouble"
"","2","PropertyTests","","Fri Dec 05 22:10:45 UTC 2025","passed","Fri Dec 05 22:10:45 UTC 2025","","Syntax","AssertSyntaxTests","PropertyTests"
"","0","StartsWithTests","","Fri Dec 05 22:10:45 UTC 2025","passed","Fri Dec 05 22:10:45 UTC 2025","","Syntax","AssertSyntaxTests","StartsWithTests"
"","2","EqualityTestsWithTolerance_MixingTypesGenerally","","Fri Dec 05 22:10:45 UTC 2025","passed","Fri Dec 05 22:10:45 UTC 2025","","Syntax","AssertSyntaxTests","EqualityTestsWithTolerance_MixingTypesGenerally"
"","1","EqualIgnoringCaseTests","","Fri Dec 05 22:10:45 UTC 2025","passed","Fri Dec 05 22:10:45 UTC 2025","","Syntax","AssertSyntaxTests","EqualIgnoringCaseTests"
"","0","SubsetTests","","Fri Dec 05 22:10:45 UTC 2025","passed","Fri Dec 05 22:10:45 UTC 2025","","Syntax","AssertSyntaxTests","SubsetTests"
"","7","EqualityTestsWithTolerance","","Fri Dec 05 22:10:45 UTC 2025","passed","Fri Dec 05 22:10:45 UTC 2025","","Syntax","AssertSyntaxTests","EqualityTestsWithTolerance"
"","0","ClassicAssert.IsNull","","Fri Dec 05 22:10:45 UTC 2025","passed","Fri Dec 05 22:10:45 UTC 2025","","Syntax","AssertSyntaxTests","IsNull"
"","1","ClassicAssert.IsNotNull","","Fri Dec 05 22:10:45 UTC 2025","passed","Fri Dec 05 22:10:45 UTC 2025","","Syntax","AssertSyntaxTests","IsNotNull"
"","1","EqualityTests","","Fri Dec 05 22:10:45 UTC 2025","passed","Fri Dec 05 22:10:45 UTC 2025","","Syntax","AssertSyntaxTests","EqualityTests"
"","0","EndsWithTests","","Fri Dec 05 22:10:45 UTC 2025","passed","Fri Dec 05 22:10:45 UTC 2025","","Syntax","AssertSyntaxTests","EndsWithTests"
"","1","InstanceOfTypeTests","","Fri Dec 05 22:10:45 UTC 2025","passed","Fri Dec 05 22:10:45 UTC 2025","","Syntax","AssertSyntaxTests","InstanceOfTypeTests"
"","3","ExactTypeTests","","Fri Dec 05 22:10:45 UTC 2025","passed","Fri Dec 05 22:10:45 UTC 2025","","Syntax","AssertSyntaxTests","ExactTypeTests"
"","1","ComparisonTests","","Fri Dec 05 22:10:45 UTC 2025","passed","Fri Dec 05 22:10:45 UTC 2025","","Syntax","AssertSyntaxTests","ComparisonTests"
"","7","CollectionContainsTests","","Fri Dec 05 22:10:45 UTC 2025","passed","Fri Dec 05 22:10:45 UTC 2025","","Syntax","AssertSyntaxTests","CollectionContainsTests"
"","0","ClassicAssert.IsTrue","","Fri Dec 05 22:10:45 UTC 2025","passed","Fri Dec 05 22:10:45 UTC 2025","","Syntax","AssertSyntaxTests","IsTrue"
"","25","AllItemsTests","","Fri Dec 05 22:10:45 UTC 2025","passed","Fri Dec 05 22:10:45 UTC 2025","","Syntax","AssertSyntaxTests","AllItemsTests"
"","0","ClassicAssert.IsNan","","Fri Dec 05 22:10:45 UTC 2025","passed","Fri Dec 05 22:10:45 UTC 2025","","Syntax","AssertSyntaxTests","IsNaN"
"","0","SomeItemTests","","Fri Dec 05 22:10:45 UTC 2025","passed","Fri Dec 05 22:10:45 UTC 2025","","Syntax","AssertSyntaxTests","SomeItemTests"
"","4","CollectionEquivalenceTests","","Fri Dec 05 22:10:45 UTC 2025","passed","Fri Dec 05 22:10:45 UTC 2025","","Syntax","AssertSyntaxTests","CollectionEquivalenceTests"
"","1","NoItemTests","","Fri Dec 05 22:10:45 UTC 2025","passed","Fri Dec 05 22:10:45 UTC 2025","","Syntax","AssertSyntaxTests","NoItemTests"
"","1","SubstringTests","","Fri Dec 05 22:10:45 UTC 2025","passed","Fri Dec 05 22:10:45 UTC 2025","","Syntax","AssertSyntaxTests","SubstringTests"
"","0","ClassicAssert.IsFalse","","Fri Dec 05 22:10:45 UTC 2025","passed","Fri Dec 05 22:10:45 UTC 2025","","Syntax","AssertSyntaxTests","IsFalse"
"","1","AssignableFromTypeTests","","Fri Dec 05 22:10:45 UTC 2025","passed","Fri Dec 05 22:10:45 UTC 2025","","Syntax","AssertSyntaxTests","AssignableFromTypeTests"
"","0","NotTests","","Fri Dec 05 22:10:45 UTC 2025","passed","Fri Dec 05 22:10:45 UTC 2025","","Syntax","AssertSyntaxTests","NotTests"
